,userid,recipeid,comment,time
138,2,139,"Very disappointed, the result is not as good as expected, but still very grateful to the blogger for sharing.",2021.12.24
139,1,140,"I made it and shared it with my friends, it's worth making!",2022.06.17
140,6,141,"Very disappointed, the result is not as good as expected, but still very grateful to the blogger for sharing.",2020.07.28
141,4,142,"Very disappointed, the result is not as good as expected, but still very grateful to the blogger for sharing.",2019.03.19
142,4,143,"Looks good, even though I haven't learned to make it yet, I've got it in my collection!",2019.04.07
143,5,144,"Wouldn't this ingredient be too much, I probably won't make it a second time.",2020.07.28
144,3,145,"I made it and shared it with my friends, it's worth making!",2019.04.07
145,1,146,"Wouldn't this ingredient be too much, I probably won't make it a second time.",2019.03.19
146,4,147,"Wouldn't this ingredient be too much, I probably won't make it a second time.",2021.12.24
147,1,148,"Wouldn't this ingredient be too much, I probably won't make it a second time.",2020.07.28
148,4,149,"Very good, I also have a similar approach, when I succeed I will share the post for everyone to see",2022.06.17
149,5,150,"I made it and shared it with my friends, it's worth making!",2020.07.28
150,3,151,"Very disappointed, the result is not as good as expected, but still very grateful to the blogger for sharing.",2019.03.19
151,2,152,"I personally feel that the taste is relatively general, but the production process is still very interesting.",2022.06.17
152,3,153,"I made it and shared it with my friends, it's worth making!",2022.06.17
153,4,154,"Looks good, even though I haven't learned to make it yet, I've got it in my collection!",2022.01.03
154,2,155,"Looks good, even though I haven't learned to make it yet, I've got it in my collection!",2021.12.24
155,2,156,"Very disappointed, the result is not as good as expected, but still very grateful to the blogger for sharing.",2019.03.19
156,3,157,"I made it and shared it with my friends, it's worth making!",2021.12.24
157,5,158,"Very disappointed, the result is not as good as expected, but still very grateful to the blogger for sharing.",2019.03.19
158,6,159,"Wouldn't this ingredient be too much, I probably won't make it a second time.",2021.12.24
159,6,160,"I made it and shared it with my friends, it's worth making!",2021.12.24
160,5,161,"Very good, I also have a similar approach, when I succeed I will share the post for everyone to see",2021.12.24
161,1,162,"Wouldn't this ingredient be too much, I probably won't make it a second time.",2021.12.24
162,6,163,"I made it and shared it with my friends, it's worth making!",2019.03.19
163,1,164,"Wouldn't this ingredient be too much, I probably won't make it a second time.",2019.03.19
164,5,165,"Very disappointed, the result is not as good as expected, but still very grateful to the blogger for sharing.",2019.03.19
165,4,166,"I personally feel that the taste is relatively general, but the production process is still very interesting.",2022.01.03
166,3,167,"I personally feel that the taste is relatively general, but the production process is still very interesting.",2019.04.07
167,5,168,"Wouldn't this ingredient be too much, I probably won't make it a second time.",2022.01.03
168,2,169,"Wouldn't this ingredient be too much, I probably won't make it a second time.",2022.01.03
169,3,170,"I personally feel that the taste is relatively general, but the production process is still very interesting.",2022.01.03
170,4,171,"I personally feel that the taste is relatively general, but the production process is still very interesting.",2019.04.07
171,4,172,"Wouldn't this ingredient be too much, I probably won't make it a second time.",2020.07.28
172,2,173,"Very disappointed, the result is not as good as expected, but still very grateful to the blogger for sharing.",2021.12.24
173,5,174,"I personally feel that the taste is relatively general, but the production process is still very interesting.",2019.04.07
174,1,175,"Looks good, even though I haven't learned to make it yet, I've got it in my collection!",2019.03.19
175,1,176,"Very disappointed, the result is not as good as expected, but still very grateful to the blogger for sharing.",2019.04.07
176,4,177,"Very disappointed, the result is not as good as expected, but still very grateful to the blogger for sharing.",2020.07.28
177,4,178,"I personally feel that the taste is relatively general, but the production process is still very interesting.",2022.01.03
178,2,179,"Very disappointed, the result is not as good as expected, but still very grateful to the blogger for sharing.",2022.06.17
179,1,180,"Very good, I also have a similar approach, when I succeed I will share the post for everyone to see",2020.07.28
180,5,181,"I made it and shared it with my friends, it's worth making!",2019.04.07
181,4,182,"Very disappointed, the result is not as good as expected, but still very grateful to the blogger for sharing.",2022.01.03
182,4,183,"Wouldn't this ingredient be too much, I probably won't make it a second time.",2019.03.19
183,6,184,"Very disappointed, the result is not as good as expected, but still very grateful to the blogger for sharing.",2019.04.07
184,6,185,"I personally feel that the taste is relatively general, but the production process is still very interesting.",2019.04.07
185,3,186,"I made it and shared it with my friends, it's worth making!",2020.07.28
186,3,187,"Looks good, even though I haven't learned to make it yet, I've got it in my collection!",2020.07.28
187,4,188,"I made it and shared it with my friends, it's worth making!",2022.06.17
188,3,189,"I made it and shared it with my friends, it's worth making!",2021.12.24
189,1,190,"I made it and shared it with my friends, it's worth making!",2021.12.24
190,3,191,"Looks good, even though I haven't learned to make it yet, I've got it in my collection!",2019.03.19
191,1,192,"I personally feel that the taste is relatively general, but the production process is still very interesting.",2019.03.19
192,5,193,"I personally feel that the taste is relatively general, but the production process is still very interesting.",2021.12.24
193,3,194,"I made it and shared it with my friends, it's worth making!",2022.01.03
194,3,195,"Very disappointed, the result is not as good as expected, but still very grateful to the blogger for sharing.",2019.03.19
195,2,196,"I made it and shared it with my friends, it's worth making!",2019.04.07
196,3,197,"Very good, I also have a similar approach, when I succeed I will share the post for everyone to see",2020.07.28
197,4,198,"Very good, I also have a similar approach, when I succeed I will share the post for everyone to see",2022.06.17
198,3,199,"Looks good, even though I haven't learned to make it yet, I've got it in my collection!",2021.12.24
199,3,200,"Wouldn't this ingredient be too much, I probably won't make it a second time.",2019.03.19
200,4,201,"Very good, I also have a similar approach, when I succeed I will share the post for everyone to see",2022.01.03
201,4,202,"I personally feel that the taste is relatively general, but the production process is still very interesting.",2019.04.07
202,2,203,"Wouldn't this ingredient be too much, I probably won't make it a second time.",2019.03.19
203,6,204,"I personally feel that the taste is relatively general, but the production process is still very interesting.",2019.04.07
204,3,205,"Looks good, even though I haven't learned to make it yet, I've got it in my collection!",2019.03.19
205,3,206,"Looks good, even though I haven't learned to make it yet, I've got it in my collection!",2020.07.28
206,4,207,"Very good, I also have a similar approach, when I succeed I will share the post for everyone to see",2022.06.17
207,5,208,"Looks good, even though I haven't learned to make it yet, I've got it in my collection!",2019.04.07
208,4,209,"Looks good, even though I haven't learned to make it yet, I've got it in my collection!",2022.06.17
209,4,210,"Wouldn't this ingredient be too much, I probably won't make it a second time.",2020.07.28
210,6,211,"Looks good, even though I haven't learned to make it yet, I've got it in my collection!",2019.04.07
211,4,212,"Very disappointed, the result is not as good as expected, but still very grateful to the blogger for sharing.",2021.12.24
212,2,213,"Wouldn't this ingredient be too much, I probably won't make it a second time.",2022.01.03
213,2,214,"I personally feel that the taste is relatively general, but the production process is still very interesting.",2019.03.19
214,6,215,"Very good, I also have a similar approach, when I succeed I will share the post for everyone to see",2019.03.19
215,2,216,"Very good, I also have a similar approach, when I succeed I will share the post for everyone to see",2020.07.28
216,4,217,"Very disappointed, the result is not as good as expected, but still very grateful to the blogger for sharing.",2022.06.17
217,2,218,"I made it and shared it with my friends, it's worth making!",2022.06.17
218,3,219,"Looks good, even though I haven't learned to make it yet, I've got it in my collection!",2021.12.24
219,6,220,"Very good, I also have a similar approach, when I succeed I will share the post for everyone to see",2022.01.03
220,6,221,"Very good, I also have a similar approach, when I succeed I will share the post for everyone to see",2021.12.24
221,2,222,"Very good, I also have a similar approach, when I succeed I will share the post for everyone to see",2019.04.07
222,4,223,"Very disappointed, the result is not as good as expected, but still very grateful to the blogger for sharing.",2022.01.03
223,5,224,"Very good, I also have a similar approach, when I succeed I will share the post for everyone to see",2019.03.19
224,5,225,"Very good, I also have a similar approach, when I succeed I will share the post for everyone to see",2021.12.24
225,4,226,"Wouldn't this ingredient be too much, I probably won't make it a second time.",2022.01.03
226,5,227,"I made it and shared it with my friends, it's worth making!",2022.01.03
227,2,228,"I personally feel that the taste is relatively general, but the production process is still very interesting.",2019.04.07
228,4,229,"I personally feel that the taste is relatively general, but the production process is still very interesting.",2019.03.19
229,6,230,"Looks good, even though I haven't learned to make it yet, I've got it in my collection!",2020.07.28
230,5,231,"Wouldn't this ingredient be too much, I probably won't make it a second time.",2020.07.28
231,4,232,"Very disappointed, the result is not as good as expected, but still very grateful to the blogger for sharing.",2019.04.07
232,5,233,"Very disappointed, the result is not as good as expected, but still very grateful to the blogger for sharing.",2021.12.24
233,4,234,"Very good, I also have a similar approach, when I succeed I will share the post for everyone to see",2019.03.19
234,2,235,"Very disappointed, the result is not as good as expected, but still very grateful to the blogger for sharing.",2019.03.19
235,6,236,"I personally feel that the taste is relatively general, but the production process is still very interesting.",2022.01.03
236,4,237,"Looks good, even though I haven't learned to make it yet, I've got it in my collection!",2020.07.28
237,3,238,"I made it and shared it with my friends, it's worth making!",2019.04.07
238,6,239,"I personally feel that the taste is relatively general, but the production process is still very interesting.",2019.04.07
239,2,240,"Looks good, even though I haven't learned to make it yet, I've got it in my collection!",2020.07.28
240,6,241,"Very disappointed, the result is not as good as expected, but still very grateful to the blogger for sharing.",2022.01.03
241,4,242,"Wouldn't this ingredient be too much, I probably won't make it a second time.",2019.03.19
242,2,243,"I personally feel that the taste is relatively general, but the production process is still very interesting.",2022.01.03
243,3,244,"I made it and shared it with my friends, it's worth making!",2022.01.03
244,5,245,"I personally feel that the taste is relatively general, but the production process is still very interesting.",2019.03.19
245,1,246,"I made it and shared it with my friends, it's worth making!",2021.12.24
246,3,247,"Very good, I also have a similar approach, when I succeed I will share the post for everyone to see",2019.03.19
247,3,248,"Very disappointed, the result is not as good as expected, but still very grateful to the blogger for sharing.",2021.12.24
248,2,249,"Wouldn't this ingredient be too much, I probably won't make it a second time.",2022.06.17
249,4,250,"Very good, I also have a similar approach, when I succeed I will share the post for everyone to see",2022.01.03
250,1,251,"Looks good, even though I haven't learned to make it yet, I've got it in my collection!",2022.06.17
251,6,252,"Looks good, even though I haven't learned to make it yet, I've got it in my collection!",2019.03.19
252,4,253,"Very disappointed, the result is not as good as expected, but still very grateful to the blogger for sharing.",2019.03.19
253,5,254,"Looks good, even though I haven't learned to make it yet, I've got it in my collection!",2020.07.28
254,3,255,"Looks good, even though I haven't learned to make it yet, I've got it in my collection!",2022.01.03
255,2,256,"Looks good, even though I haven't learned to make it yet, I've got it in my collection!",2022.01.03
256,3,257,"I personally feel that the taste is relatively general, but the production process is still very interesting.",2021.12.24
257,6,258,"I personally feel that the taste is relatively general, but the production process is still very interesting.",2020.07.28
258,6,259,"I made it and shared it with my friends, it's worth making!",2021.12.24
259,3,260,"Very good, I also have a similar approach, when I succeed I will share the post for everyone to see",2020.07.28
260,1,261,"Very disappointed, the result is not as good as expected, but still very grateful to the blogger for sharing.",2022.01.03
261,3,262,"Looks good, even though I haven't learned to make it yet, I've got it in my collection!",2022.01.03
262,2,263,"I personally feel that the taste is relatively general, but the production process is still very interesting.",2022.06.17
263,1,264,"Wouldn't this ingredient be too much, I probably won't make it a second time.",2020.07.28
264,6,265,"Very disappointed, the result is not as good as expected, but still very grateful to the blogger for sharing.",2020.07.28
265,6,266,"Wouldn't this ingredient be too much, I probably won't make it a second time.",2019.04.07
266,4,267,"I made it and shared it with my friends, it's worth making!",2020.07.28
267,5,268,"I personally feel that the taste is relatively general, but the production process is still very interesting.",2019.04.07
268,5,269,"I personally feel that the taste is relatively general, but the production process is still very interesting.",2021.12.24
269,3,270,"I personally feel that the taste is relatively general, but the production process is still very interesting.",2020.07.28
270,1,271,"Very disappointed, the result is not as good as expected, but still very grateful to the blogger for sharing.",2022.06.17
271,6,272,"Looks good, even though I haven't learned to make it yet, I've got it in my collection!",2020.07.28
272,1,273,"Very good, I also have a similar approach, when I succeed I will share the post for everyone to see",2022.01.03
273,4,274,"I made it and shared it with my friends, it's worth making!",2022.01.03
274,4,275,"Very disappointed, the result is not as good as expected, but still very grateful to the blogger for sharing.",2019.03.19
275,5,276,"Wouldn't this ingredient be too much, I probably won't make it a second time.",2019.03.19
276,1,277,"I personally feel that the taste is relatively general, but the production process is still very interesting.",2019.03.19
277,3,278,"I made it and shared it with my friends, it's worth making!",2022.01.03
278,1,279,"Looks good, even though I haven't learned to make it yet, I've got it in my collection!",2019.03.19
279,3,280,"Very good, I also have a similar approach, when I succeed I will share the post for everyone to see",2021.12.24
280,2,281,"I made it and shared it with my friends, it's worth making!",2019.04.07
281,2,282,"Very disappointed, the result is not as good as expected, but still very grateful to the blogger for sharing.",2021.12.24
282,3,283,"Looks good, even though I haven't learned to make it yet, I've got it in my collection!",2022.06.17
283,4,284,"Looks good, even though I haven't learned to make it yet, I've got it in my collection!",2021.12.24
284,4,285,"I made it and shared it with my friends, it's worth making!",2022.06.17
285,1,286,"Very good, I also have a similar approach, when I succeed I will share the post for everyone to see",2021.12.24
286,5,287,"Very disappointed, the result is not as good as expected, but still very grateful to the blogger for sharing.",2020.07.28
287,6,288,"I made it and shared it with my friends, it's worth making!",2020.07.28
288,6,289,"Looks good, even though I haven't learned to make it yet, I've got it in my collection!",2019.03.19
289,1,290,"I made it and shared it with my friends, it's worth making!",2022.06.17
290,5,291,"Looks good, even though I haven't learned to make it yet, I've got it in my collection!",2019.04.07
291,4,292,"Very good, I also have a similar approach, when I succeed I will share the post for everyone to see",2022.06.17
292,2,293,"Very good, I also have a similar approach, when I succeed I will share the post for everyone to see",2022.06.17
293,4,294,"Wouldn't this ingredient be too much, I probably won't make it a second time.",2020.07.28
294,1,295,"Wouldn't this ingredient be too much, I probably won't make it a second time.",2021.12.24
295,4,296,"Very disappointed, the result is not as good as expected, but still very grateful to the blogger for sharing.",2019.03.19
296,6,297,"Wouldn't this ingredient be too much, I probably won't make it a second time.",2019.04.07
297,6,298,"I personally feel that the taste is relatively general, but the production process is still very interesting.",2022.01.03
298,3,299,"I made it and shared it with my friends, it's worth making!",2022.06.17
299,5,300,"Wouldn't this ingredient be too much, I probably won't make it a second time.",2022.01.03
300,3,301,"Very disappointed, the result is not as good as expected, but still very grateful to the blogger for sharing.",2020.07.28
301,2,302,"I made it and shared it with my friends, it's worth making!",2020.07.28
302,5,303,"I made it and shared it with my friends, it's worth making!",2021.12.24
303,3,304,"I made it and shared it with my friends, it's worth making!",2021.12.24
304,6,305,"Wouldn't this ingredient be too much, I probably won't make it a second time.",2019.04.07
305,1,306,"Very good, I also have a similar approach, when I succeed I will share the post for everyone to see",2021.12.24
306,2,307,"Looks good, even though I haven't learned to make it yet, I've got it in my collection!",2019.04.07
307,1,308,"I personally feel that the taste is relatively general, but the production process is still very interesting.",2021.12.24
308,6,309,"I personally feel that the taste is relatively general, but the production process is still very interesting.",2019.04.07
309,2,310,"Very good, I also have a similar approach, when I succeed I will share the post for everyone to see",2022.01.03
310,1,311,"Very good, I also have a similar approach, when I succeed I will share the post for everyone to see",2022.06.17
311,1,312,"I personally feel that the taste is relatively general, but the production process is still very interesting.",2022.01.03
312,5,313,"Very good, I also have a similar approach, when I succeed I will share the post for everyone to see",2021.12.24
313,2,314,"Very disappointed, the result is not as good as expected, but still very grateful to the blogger for sharing.",2022.01.03
314,4,315,"Looks good, even though I haven't learned to make it yet, I've got it in my collection!",2020.07.28
315,4,316,"I personally feel that the taste is relatively general, but the production process is still very interesting.",2019.04.07
316,5,317,"Wouldn't this ingredient be too much, I probably won't make it a second time.",2022.06.17
317,5,318,"Very disappointed, the result is not as good as expected, but still very grateful to the blogger for sharing.",2022.01.03
318,1,319,"I made it and shared it with my friends, it's worth making!",2021.12.24
319,4,320,"Very good, I also have a similar approach, when I succeed I will share the post for everyone to see",2022.06.17
320,5,321,"I personally feel that the taste is relatively general, but the production process is still very interesting.",2021.12.24
321,1,322,"I made it and shared it with my friends, it's worth making!",2019.04.07
322,2,323,"Looks good, even though I haven't learned to make it yet, I've got it in my collection!",2021.12.24
323,6,324,"Wouldn't this ingredient be too much, I probably won't make it a second time.",2022.01.03
324,6,325,"I personally feel that the taste is relatively general, but the production process is still very interesting.",2022.01.03
325,5,326,"Very disappointed, the result is not as good as expected, but still very grateful to the blogger for sharing.",2022.06.17
326,4,327,"Very disappointed, the result is not as good as expected, but still very grateful to the blogger for sharing.",2019.04.07
327,1,328,"Looks good, even though I haven't learned to make it yet, I've got it in my collection!",2019.03.19
328,4,329,"I made it and shared it with my friends, it's worth making!",2019.04.07
329,1,330,"I personally feel that the taste is relatively general, but the production process is still very interesting.",2019.03.19
330,1,331,"Looks good, even though I haven't learned to make it yet, I've got it in my collection!",2022.01.03
331,4,332,"Very good, I also have a similar approach, when I succeed I will share the post for everyone to see",2022.01.03
332,5,333,"I personally feel that the taste is relatively general, but the production process is still very interesting.",2019.04.07
333,5,334,"I made it and shared it with my friends, it's worth making!",2022.01.03
334,3,335,"I made it and shared it with my friends, it's worth making!",2022.06.17
335,5,336,"Very disappointed, the result is not as good as expected, but still very grateful to the blogger for sharing.",2019.04.07
336,2,337,"Looks good, even though I haven't learned to make it yet, I've got it in my collection!",2022.06.17
